deepCIS_segment,Gene_ID,deepCRE_region,Gene_Genomic_Location,Internal_deepCRE_Coord
WRKY_1:21951648-21951897,AT1G59730,TTS_Window,1:21952597-21953480,2700-2949
WRKY_1:22034084-22034333,AT1G59865,TSS_Window,1:22032313-22033297,1-214
WRKY_1:22034084-22034333,AT1G59870,TSS_Window,1:22034423-22040126,662-911
WRKY_1:22053099-22053348,AT1G59910,TTS_Window,1:22053863-22057268,2515-2764
WRKY_1:22342955-22343204,AT1G60650,TTS_Window,1:22339809-22342337,2618-2867
WRKY_1:22342955-22343204,AT1G60660,TSS_Window,1:22342290-22343269,1066-1315
WRKY_1:22342955-22343204,AT1G60670,TSS_Window,1:22343585-22347624,371-620
WRKY_1:22688401-22688650,AT1G61500,TTS_Window,1:22689623-22693799,2973-3000
WRKY_1:22998014-22998263,AT1G62250,TSS_Window,1:22994538-22997709,447-696
WRKY_1:22998014-22998263,AT1G62260,TTS_Window,1:22997755-22999829,1501-1741
WRKY_1:23001936-23002185,AT1G62262,TSS_Window,1:23000157-23002096,912-1161
WRKY_1:23198995-23199244,AT1G62660,TSS_Window,1:23199612-23203808,384-633
WRKY_1:23271439-23271688,AT1G62840,TSS_Window,1:23271416-23272578,1024-1273
WRKY_1:23271439-23271688,AT1G62850,TTS_Window,1:23271703-23274340,2015-2264
WRKY_1:23304393-23304642,AT1G62915,TSS_Window,1:23303241-23304287,646-895
WRKY_1:23304393-23304642,AT1G62920,TSS_Window,1:23304313-23306374,1081-1330
WRKY_1:23511550-23511799,AT1G63410,TSS_Window,1:23510075-23512088,1290-1500
WRKY_1:23687153-23687402,AT1G63830,TTS_Window,1:23685093-23687374,1779-2028
WRKY_1:23806720-23806969,AT1G64140,TSS_Window,1:23803793-23807159,1191-1440
WRKY_1:23892156-23892405,AT1G64380,TSS_Window,1:23890570-23892193,789-1038
WRKY_1:24108540-24108789,AT1G64880,TTS_Window,1:24105611-24109243,1501-1546
WRKY_1:24108540-24108789,AT1G64890,TSS_Window,1:24109538-24111489,3-252
WRKY_1:24119224-24119473,AT1G64920,TSS_Window,1:24117312-24118993,521-770
WRKY_1:24149623-24149872,AT1G65000,TTS_Window,1:24146925-24148801,2822-3000
WRKY_1:24149623-24149872,AT1G65010,TSS_Window,1:24149208-24154412,1416-1500
WRKY_1:24230209-24230458,AT1G65230,TTS_Window,1:24229063-24230902,1501-1556
WRKY_1:24230209-24230458,AT1G65240,TTS_Window,1:24230867-24233523,2409-2658
WRKY_1:24665686-24665935,AT1G66210,TTS_Window,1:24665538-24668850,1603-1852
WRKY_1:24683177-24683426,AT1G66235,TTS_Window,1:24682907-24683996,1501-1730
WRKY_1:24685995-24686244,AT1G66240,TTS_Window,1:24686114-24687417,1870-2119
WRKY_1:24755241-24755490,AT1G66370,TTS_Window,1:24753589-24754761,2480-2729
WRKY_1:24781169-24781418,AT1G66430,TTS_Window,1:24778257-24780742,2427-2676
WRKY_1:24781169-24781418,AT1G66440,TSS_Window,1:24782042-24784397,128-377
WRKY_1:24842677-24842926,AT1G66590,TTS_Window,1:24840899-24842609,2068-2317
WRKY_1:25161804-25162053,AT1G67235,TTS_Window,1:25162507-25163104,2454-2703
WRKY_1:25203436-25203685,AT1G67310,TSS_Window,1:25198182-25203126,442-691
WRKY_1:25250108-25250357,AT1G67410,TTS_Window,1:25251166-25253682,2809-3000
WRKY_1:25263098-25263347,AT1G67440,TTS_Window,1:25263757-25265861,2410-2659
WRKY_1:25269173-25269422,AT1G67455,TTS_Window,1:25267925-25269475,1698-1947
WRKY_1:25269173-25269422,AT1G67460,TTS_Window,1:25269428-25271904,2006-2255
WRKY_1:25312599-25312848,AT1G67540,TSS_Window,1:25311242-25312482,635-884
WRKY_1:25312599-25312848,AT1G67550,TSS_Window,1:25312660-25317495,940-1189
WRKY_1:25350580-25350829,AT1G67635,TTS_Window,1:25349342-25350384,2196-2445
WRKY_1:25452904-25453153,AT1G67880,TTS_Window,1:25453823-25455823,2670-2919
WRKY_1:25485093-25485342,AT1G67960,TSS_Window,1:25480652-25484396,55-304
WRKY_1:25538626-25538875,AT1G68140,TTS_Window,1:25538924-25541823,2049-2298
WRKY_1:25634690-25634939,AT1G68370,TSS_Window,1:25631689-25634780,842-1091
WRKY_1:25634690-25634939,AT1G68380,TTS_Window,1:25635838-25637462,2899-3000
WRKY_1:25712424-25712673,AT1G68526,TSS_Window,1:25711869-25712379,707-956
WRKY_1:25712424-25712673,AT1G68530,TTS_Window,1:25712414-25715024,1741-1990
WRKY_1:25752179-25752428,AT1G68580,TSS_Window,1:25752624-25756113,556-805
WRKY_1:25828093-25828342,AT1G68750,TSS_Window,1:25822716-25828147,806-1055
WRKY_1:25830544-25830793,AT1G68760,TTS_Window,1:25828890-25829813,2731-2980
WRKY_1:25828093-25828342,AT1G68760,TSS_Window,1:25828890-25829813,204-453
WRKY_1:25830544-25830793,AT1G68765,TSS_Window,1:25829917-25830781,989-1238
WRKY_1:25830544-25830793,AT1G68780,TTS_Window,1:25831662-25833966,2869-3000
WRKY_1:25890231-25890480,AT1G68870,TTS_Window,1:25889074-25889734,2497-2746
WRKY_1:26012156-26012405,AT1G69190,TTS_Window,1:26013012-26015018,2607-2856
WRKY_1:26219788-26220037,AT1G69700,TSS_Window,1:26220190-26221870,599-848
WRKY_1:26237834-26238083,AT1G69750,TTS_Window,1:26235071-26238542,1501-1541
WRKY_1:26312720-26312969,AT1G69860,TTS_Window,1:26309628-26312174,2546-2795
WRKY_1:26459110-26459359,AT1G70260,TSS_Window,1:26456774-26459570,1212-1461
WRKY_1:26568868-26569117,AT1G70500,TSS_Window,1:26566398-26568871,755-1004
WRKY_1:26631403-26631652,AT1G70620,TTS_Window,1:26626528-26631104,2299-2548
WRKY_1:26631403-26631652,AT1G70630,TSS_Window,1:26631112-26634259,1292-1500
WRKY_1:26640168-26640417,AT1G70660,TSS_Window,1:26640565-26642149,604-853
WRKY_1:26916849-26917098,AT1G71420,TTS_Window,1:26917786-26920099,2688-2937
WRKY_1:27197778-27198027,AT1G72250,TTS_Window,1:27192740-27198379,1501-1648
WRKY_1:27197778-27198027,AT1G72260,TTS_Window,1:27198356-27199468,2329-2578
WRKY_1:27376275-27376524,AT1G72710,TTS_Window,1:27372197-27376730,1545-1794
WRKY_1:27376275-27376524,AT1G72720,TTS_Window,1:27376682-27377473,2158-2407
WRKY_1:27444289-27444538,AT1G72940,TTS_Window,1:27441981-27443859,2430-2679
WRKY_1:27444289-27444538,AT1G72950,TSS_Window,1:27444415-27445997,875-1124
WRKY_1:27452047-27452296,AT1G72960,TTS_Window,1:27446069-27451067,2980-3000
WRKY_1:27452047-27452296,AT1G72970,TSS_Window,1:27452748-27455964,300-549
WRKY_1:27468717-27468966,AT1G73020,TTS_Window,1:27469496-27473660,2530-2779
WRKY_1:27522241-27522490,AT1G73180,TTS_Window,1:27517891-27521710,2531-2780
WRKY_1:27522241-27522490,AT1G73190,TSS_Window,1:27521944-27523332,1298-1500
WRKY_1:27522241-27522490,AT1G73200,TTS_Window,1:27523043-27526818,2553-2802
WRKY_1:27690201-27690450,AT1G73650,TSS_Window,1:27688123-27690307,858-1107
WRKY_1:27690201-27690450,AT1G73655,TTS_Window,1:27690350-27691819,1900-2149
WRKY_1:28031445-28031694,AT1G74640,TSS_Window,1:28032562-28034863,1-133
WRKY_1:28501477-28501726,AT1G75900,TTS_Window,1:28498821-28501254,2223-2472
WRKY_1:28501477-28501726,AT1G75910,TSS_Window,1:28501434-28503283,1044-1293
WRKY_1:28524438-28524687,AT1G75980,TSS_Window,1:28522554-28524418,732-981
WRKY_1:28522773-28523022,AT1G75980,TTS_Window,1:28522554-28524418,1532-1781
WRKY_1:28524438-28524687,AT1G75990,TTS_Window,1:28524404-28526848,1717-1966
WRKY_1:28546156-28546405,AT1G76065,TSS_Window,1:28544338-28545708,304-553
WRKY_1:28546156-28546405,AT1G76070,TSS_Window,1:28546382-28547611,775-1024
WRKY_1:28577180-28577429,AT1G76150,TSS_Window,1:28574740-28577700,1272-1500
WRKY_1:28577180-28577429,AT1G76160,TTS_Window,1:28577842-28581315,2413-2662
WRKY_1:28650856-28651105,AT1G76370,TSS_Window,1:28648327-28650577,473-722
WRKY_1:28650856-28651105,AT1G76380,TTS_Window,1:28651069-28654660,1964-2213
WRKY_1:29064705-29064954,AT1G77330,TSS_Window,1:29062945-29064637,684-933
WRKY_1:29067841-29068090,AT1G77340,TTS_Window,1:29068343-29070037,2253-2502
WRKY_1:29458861-29459110,AT1G78290,TSS_Window,1:29457205-29459493,1384-1500
WRKY_1:29513464-29513713,AT1G78440,TSS_Window,1:29511561-29513100,388-637
WRKY_1:29526121-29526370,AT1G78476,TTS_Window,1:29523982-29526284,1837-2086
WRKY_1:29526121-29526370,AT1G78480,TSS_Window,1:29525501-29526363,994-1243
WRKY_1:29526121-29526370,AT1G78490,TSS_Window,1:29526861-29530669,261-510
WRKY_1:29588153-29588402,AT1G78660,TTS_Window,1:29585677-29588389,1764-2013
WRKY_1:29676843-29677092,AT1G78922,TTS_Window,1:29676755-29677815,1663-1912
WRKY_1:29676843-29677092,AT1G78930,TTS_Window,1:29677904-29680757,2812-3000
WRKY_1:29727302-29727551,AT1G79010,TSS_Window,1:29724796-29727028,478-727
WRKY_1:29727302-29727551,AT1G79020,TTS_Window,1:29727044-29730593,1501-1742
WRKY_1:29734433-29734682,AT1G79030,TSS_Window,1:29730642-29734444,763-1012
WRKY_1:29740202-29740451,AT1G79050,TSS_Window,1:29736959-29740179,729-978
WRKY_1:29845601-29845850,AT1G79340,TTS_Window,1:29842587-29844638,2963-3000
WRKY_1:30017653-30017902,AT1G79780,TTS_Window,1:30015712-30016856,2797-3000
WRKY_1:30017653-30017902,AT1G79790,TSS_Window,1:30016671-30018234,1333-1500
WRKY_1:30017653-30017902,AT1G79800,TSS_Window,1:30018490-30019315,164-413
WRKY_1:30092095-30092344,AT1G79990,TTS_Window,1:30085750-30092239,1856-2105
WRKY_1:30092095-30092344,AT1G80000,TSS_Window,1:30092807-30097323,289-538
WRKY_1:30155178-30155427,AT1G80170,TSS_Window,1:30153213-30155894,1468-1500
WRKY_1:30235933-30236182,AT1G80410,TSS_Window,1:30227485-30235087,1-155
WRKY_1:30269237-30269486,AT1G80500,TSS_Window,1:30270445-30272668,1-42
WRKY_1:30405119-30405368,AT1G80920,TSS_Window,1:30403503-30404713,346-595
WRKY_1:30405119-30405368,AT1G80930,TTS_Window,1:30405339-30409768,1971-2220
